Nombre,Procesador,RAM,Disco Duro,Pantalla,SO,Precio,Tarjeta Grafica
Portátil HP 255 G8,Ryzen 5,8GB,512GB SSD,"929,95 €",,,
Convertible 2 en 1 HP Pavilion 14-dy0042ns,i3,8GB,512GB SSD,"1.659,13 €",,,
Portátil HP 15s-eq1147ns,Athlon,8GB,256GB SSD,"911,63 €",,,
Portátil HP VICTUS 16-e0073ns,Ryzen 7,8GB,512GB SSD,Radeon RX5500M 4GB,FreeDOS / Sin Sistema Operativo,"2.099,70 €",
Portátil HP 16-b1003ns,i7,16GB,RTX 3060,512GB SSD,"2.050,54 €",,
Portátil Asus Expertbook,i5,8GB,512GB SSD,"2.105,87 €",,,
Portátil HP Inc 1020 X360 G2 I7-7600U 16/1T W10P,"1.169,79 €",,,,,,
"Portátil Microsoft  Surface Book 3 Ci5-7300U W10P 8Gb 256Gb 13.5"" Windows 10 Pro","1.548,55 €",,,,,,
Portátil Microsoft Laptop 4,Ryzen 7,16GB,512GB SSD,"565,83 €",,,
Portátil Toshiba Dynabook Portégé X30-F-15T,i5,8GB,256 SSD,"521,60 €",,,
Portátil MSI Summit A11MT-019ES,i7,16GB,1TB SSD,"1.203,65 €",,,
"Apple Macbook Pro M1 8Gb 256Gb Ssd 13.3"" Gris Espacial","1.644,50 €",,,,,,
Portátil Lenovo ThinkBook 14S Yoga,"I5,-8GB",256GB SSD,"656,61 €",,,,
Portátil Acer Chromebook CB515-1W,i5,8GB,256GB SSD,709 €,,,
Portátil ASUS Zenbook 14 UX425EA-KI835W,i7,16GB,512GB SSD,"14""",W11,899 €,
Convertible 2en1 Chromebook Flip CM3 CM3200FM1A-HW0041,MediaTek,4GB,64GB eMMC,"12""",ChromeOS,509 €,
Portátil ASUS E410MA-EK1987WS,Celeron,4GB,128GB eMMC,W11s,1 año de Microsoft 365 Personal,259 €,"14"""
Portátil ASUS VivoBook Pro 15 OLED M3500QC-L1340W,Ryzen 5,16GB,512GB SSD,"15,6""",W11,899 €,GeForce RTX 3050 4GB
Portátil Gaming MSI Vector GP76 12UGS-491ES,i7,16GB,1TB SSD,"17,3""",W11,1.799 €,GeForce RTX 3070Ti 8GB
Portátil Gaming Lenovo Ideapad 3 15ACH6,Ryzen 5,16GB,512GB SSD,"15,6""",W11,799 €,GeForce RTX3050 Ti 4GB
Portátil Gaming ASUS TUF Gaming F15 FX506LHB-HN324,i5,16GB,512GB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,199 €,GeForce GTX 1650 4GB
Portátil Gaming ASUS ROG Strix G15 G513IC-HN100W,Ryzen 7,32GB,512GB SSD,"15,6""",W11,1.119 €,GeForce RTX 3050 4GB
Apple MacBook Air 13 (2020),M1,8 GB,256 GB,MacOS,Plata,1.649 €,"13,3"""
Portátil Gaming ASUS ROG Strix G15 G513RM-HQ156W,Ryzen 7,16GB ,1TB SSD,"15,6""",W11,549 €,GeForce RTX 3060 6GB
Apple MacBook Air 13 (2020),M1,8 GB,256 GB,MacOS,Oro,1.199 €,"13,3"""
Apple MacBook Air 13 (2020),M1,8 GB,256 GB,MacOS,Gris espacial,1.483 €,"13,3"""
Portátil ASUS Vivobook Pro 15 OLED K3500PC-L1293,i5,16GB,512GB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,399 €,GeForce RTX 3050 4GB
Portátil LG Ultra 17U70Q-P.AD78B,i7,32GB,1TB SSD,"17""",W11,1.899 €,RTX 3050Ti 4GB
Portátil Gaming Lenovo Legion 5 15IAH7H,i7,16GB,512GB SSD,"15,6""",W11,1.299 €,GeForce RTX 3060 6GB
Portátil HP Pavilion Plus 14-eh0009ns,i7,16GB,1TB SSD,"14""",W11,1.399 €,GeForce RTX 2050 4GB
Portátil Gaming ASUS ROG Strix G15 G513RM-HQ261,Ryzen 7,16GB,1TB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,1.199 €,RTX 3060 6GB
Portátil Gaming MSI Katana GF66 12UD-055ES,i7,16GB,1TB SSD,"15,6""",W11,"384,69 €",GeForce RTX 3050 Ti 4GB
Portátil Gaming Acer Nitro 5,i5,16GB,512GB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,"621,75 €",RTX 3050Ti
Portátil Gaming ASUS TUF Dash F15 FX517ZM-HN001W ,i7,16GB ,512GB SSD,"15,6""",W11,799 €,GeForce RTX 3060 6GB
Portátil Gaming HP VICTUS 16-e0017ns,Ryzen 5,8GB,512GB SSD,"16,1""",FreeDOS / Sin Sistema Operativo,1.440 €,Radeon RX5500M 4GB
